taxa,PC1,PC2,PC3
PI323560,13.695338906837,-45.1677059010494,9.11301673666795
PI361071B,3.18662229621384,-0.340833184394188,-16.236401441029
PI361116,25.3684863958606,30.4820116040341,-21.0367074192145
PI398202,-30.1680215289738,20.5524980972281,-9.82329074620974
PI398634,-25.8841741195522,6.16593316038278,-1.5200100527565
PI398772,-39.7049925757449,20.740031592424,-8.51704769075814
PI398985,-30.5528056693456,13.986497947078,-6.35905839588559
PI407795B,-20.7728426971215,3.81563346910425,-4.43536187149464
PI408095A,-29.6388756510403,15.691067073963,-0.602643615844624
PI415072,46.5538861847474,10.6266716405841,-40.5886800068307
PI417072,-46.6736018375609,18.694905952393,6.87718585445446
PI417115,-23.6344407721709,-30.3609793217428,24.2278888145697
PI417128,-47.3414312435812,8.23407639030635,8.42521895524974
PI417472C,-48.590857645407,11.976428096368,8.65762348153875
PI417502,6.49864907659839,-28.3030297502599,23.1735900169299
PI423842,-29.8666017482559,8.07695678333864,-2.19975084203777
PI423982,-49.9086423047666,14.4130241840016,7.75931978124321
PI424248,-37.2097046010396,14.5046161501069,-7.38295177020387
PI424249E,-39.8308338319687,16.1204802151044,-0.99706973923645
PI424324B,-27.2378585512577,10.6080062133878,-3.44061998628819
PI424376,-34.5585799212813,24.8186595173603,-5.78614196415952
PI437079A,30.987913162571,-27.6850162148223,-41.6252701082739
PI437150,45.6777387247308,-26.9134899476257,-24.9662481296872
PI437299,-4.17892156743552,-14.6197901081793,-21.9911727392297
PI437673,16.36998839817,11.5236067782372,-36.4682942729666
PI437690,54.645457188532,-85.7260166565535,-18.1790687046402
PI437892,-3.95697509010911,24.5853206113866,-36.1365367556673
PI438058,37.2622965746156,7.74221807044012,-38.8299164498239
PI438177,57.1876892692616,-8.71403923335621,-22.8904216968907
PI438250A,30.6454545043478,-26.2976857679351,-16.6449484459621
PI438381,-11.5845271269617,15.6183905714336,-20.9070225488013
PI438438,-8.76462840611453,-32.5645051465229,21.4616951450317
PI442003B,-12.7291546259188,-32.0060038119784,24.6340683318254
PI442031,22.8636416255215,19.2941154613903,-38.4473983827734
PI442041,-23.0113430827754,9.26465117496882,-10.9138939235252
PI458091,-41.0992994963148,21.2852588927156,-8.18168430569691
PI458165,-33.9208337685558,10.02169395,-1.41572189769538
PI475815,32.1680841600223,-48.5504577252815,-24.1621952145786
PI494181,-30.960644729352,6.94720633476479,0.897237362580926
PI495832,49.1020725654166,40.319024404254,-0.374326352287595
PI503333,2.19566959886843,6.82652293204409,-15.8377932327558
PI506737,-1.15461328644301,2.45550900669338,8.0362050682165
PI506848,-43.6495134325572,14.2753595825424,3.97577799255647
PI506860,-47.6478516493819,12.7352361838756,1.81577253653864
PI506862,-13.1537588609135,-15.3604417972722,-7.38991500729159
PI506928,-45.9703301598426,10.0310780906073,5.9020402402438
PI507028,-41.5452375548519,20.3475780976618,-3.73572593414793
PI507162,0.293361049515826,19.6808340335854,-29.8763895292539
PI507222,-37.1016238819184,17.2471800768638,-3.67869715090514
PI507396,-48.0442892053546,11.9514192309814,3.10475814784829
PI507406B,-54.466270648872,19.8706267511056,0.674672888649394
PI507452,-49.8148474385238,9.5016696753887,4.74759222754896
